departamento;total de votos;votos en blanco;partido conservador ;partido liberal ;centro democratico;partido verde;partido de la u 
Amazonas;21978;504;447;5300;6671;1413;6507
Antioquia;1755256;93174;259234;270672;556496;129699;113896
Arauca;78709;3295;0;23869;22691;0;0
Atlántico;919490;36626;129431;99694;75361;0;109813
Bogotá;2347721;176876;95113;170320;473537;433647;78340
Bolívar;662976;21076;179536;97937;59468;0;77912
Boyacá;420533;31972;33109;61810;52651;77351;36558
Caldas;337171;23611;34142;67485;55639;11381;59823
Caquetá;99965;4198;0;32130;23444;0;0
Casanare;134228;5601;2061;25245;34654;34490;3940
Cauca;326327;19023;29760;96506;27949;12060;79889
Cesar;343877;9634;84457;37738;33499;1954;97451
Chocó;124355;2174;0;46688;0;0;43040
Córdoba;605407;18021;101718;129017;55681;0;269288
Cundinamarca;747699;65690;78636;76229;126551;43840;88852
Guainía;14836;193;0;0;3488;256;3784
Guaviare;28420;1127;0;11296;1084;0;6487
Huila;352027;17612;68802;49049;48324;0;46331
La Guajira;230017;3856;65865;52284;5081;0;80482
Magdalena;457366;8374;45313;82643;30376;0;61407
Meta;292918;26593;0;60469;80292;0;29643
Nariño;480152;27496;140768;76647;15546;0;69828
Norte de Satander;519991;19511;96087;114690;76918;0;90698
Putumayo;91330;4006;22590;30892;4951;20910;0
Quindio;197226;15485;0;62809;39698;0;3139
Risaralda;320001;20747;49384;64820;52320;0;31084
Archipiélago de San Andrés, Providencia y Santa Catalina;22271;574;0;9447;0;0;0
Santander;712495;51658;62175;221613;140522;0;15424
Sucre;349912;9734;8414;61010;17778;0;0
Tolima;424482;20588;108589;42343;78122;21849;45943
Valle;1311492;64036;119996;276716;142165;101545;272843
Vaupés;11358;138;0;5060;0;191;3609
Vichada;22350;220;226;4950;7625;569;0
